Date,LATITUDE,LONGITUDE,RAINFALL
2023-01-01,31.25,80.25,
2023-01-01,31.25,80.5,
2023-01-01,31.25,80.75,
2023-01-01,31.25,81.0,
2023-01-02,28.75,77.75,0.0
2023-01-02,28.75,78.0,0.0
2023-01-02,28.75,78.25,0.0
2023-01-02,28.75,78.5,0.0
2023-01-02,28.75,78.75,0.0
2023-01-02,28.75,79.0,0.0
2023-01-02,28.75,79.25,0.0
2023-01-02,28.75,79.5,0.0
2023-01-02,28.75,79.75,0.0
2023-01-02,28.75,80.0,0.0
2023-01-02,28.75,80.25,0.0
2023-01-02,28.75,80.5,0.0
2023-01-02,28.75,80.75,0.0
2023-01-02,28.75,81.0,
2023-01-02,29.0,77.75,0.0
2023-01-02,29.0,78.0,0.0
2023-01-02,29.0,78.25,0.0
2023-01-02,29.0,78.5,0.0
2023-01-02,29.0,78.75,0.0
2023-01-02,29.0,79.0,0.0
2023-01-02,29.0,79.25,0.0
2023-01-02,29.0,79.5,0.0
2023-01-02,29.0,79.75,0.0
2023-01-02,29.0,80.0,0.0
2023-01-02,29.0,80.25,
2023-01-02,29.0,80.5,
2023-01-02,29.0,80.75,
2023-01-02,29.0,81.0,
2023-01-02,29.25,77.75,0.0
2023-01-02,29.25,78.0,0.0
2023-01-02,29.25,78.25,0.0
2023-01-02,29.25,78.5,0.0
2023-01-02,29.25,78.75,0.0
2023-01-02,29.25,79.0,0.0
2023-01-02,29.25,79.25,0.0
2023-01-02,29.25,79.5,0.0
2023-01-02,29.25,79.75,0.0
2023-01-02,29.25,80.0,0.0
2023-01-02,29.25,80.25,0.0
2023-01-02,29.25,80.5,
2023-01-02,29.25,80.75,
2023-01-02,29.25,81.0,
2023-01-02,29.5,77.75,0.0
2023-01-02,29.5,78.0,0.0
2023-01-02,29.5,78.25,0.0
2023-01-02,29.5,78.5,0.0
2023-01-02,29.5,78.75,0.0
2023-01-02,29.5,79.0,0.0
2023-01-02,29.5,79.25,0.0
2023-01-02,29.5,79.5,0.0
2023-01-02,29.5,79.75,0.0
2023-01-02,29.5,80.0,0.0
2023-01-02,29.5,80.25,0.0
2023-01-02,29.5,80.5,
2023-01-02,29.5,80.75,
2023-01-02,29.5,81.0,
2023-01-02,29.75,77.75,0.0
2023-01-02,29.75,78.0,0.0
2023-01-02,29.75,78.25,0.0
2023-01-02,29.75,78.5,0.0
2023-01-02,29.75,78.75,0.0
2023-01-02,29.75,79.0,0.0
2023-01-02,29.75,79.25,0.0
2023-01-02,29.75,79.5,0.0
2023-01-02,29.75,79.75,0.0
2023-01-02,29.75,80.0,0.0
2023-01-02,29.75,80.25,0.0
2023-01-02,29.75,80.5,
2023-01-02,29.75,80.75,
2023-01-02,29.75,81.0,
2023-01-02,30.0,77.75,0.0
2023-01-02,30.0,78.0,0.0
2023-01-02,30.0,78.25,0.0
2023-01-02,30.0,78.5,0.0
2023-01-02,30.0,78.75,0.0
2023-01-02,30.0,79.0,0.0
2023-01-02,30.0,79.25,0.0
2023-01-02,30.0,79.5,0.0
2023-01-02,30.0,79.75,0.0
2023-01-02,30.0,80.0,0.0
2023-01-02,30.0,80.25,0.0
2023-01-02,30.0,80.5,0.0
2023-01-02,30.0,80.75,
2023-01-02,30.0,81.0,
2023-01-02,30.25,77.75,0.0
2023-01-02,30.25,78.0,0.0
2023-01-02,30.25,78.25,0.0
2023-01-02,30.25,78.5,0.0
2023-01-02,30.25,78.75,0.0
2023-01-02,30.25,79.0,0.0
2023-01-02,30.25,79.25,0.0
2023-01-02,30.25,79.5,0.0
2023-01-02,30.25,79.75,0.0
2023-01-02,30.25,80.0,0.0
2023-01-02,30.25,80.25,0.0
2023-01-02,30.25,80.5,0.0
2023-01-02,30.25,80.75,0.0
2023-01-02,30.25,81.0,0.0
2023-01-02,30.5,77.75,0.0
2023-01-02,30.5,78.0,0.0
2023-01-02,30.5,78.25,0.0
2023-01-02,30.5,78.5,0.0
2023-01-02,30.5,78.75,0.0
2023-01-02,30.5,79.0,0.0
2023-01-02,30.5,79.25,0.0
2023-01-02,30.5,79.5,0.0
2023-01-02,30.5,79.75,0.0
2023-01-02,30.5,80.0,0.0
2023-01-02,30.5,80.25,0.0
2023-01-02,30.5,80.5,0.0
2023-01-02,30.5,80.75,0.0
2023-01-02,30.5,81.0,
2023-01-02,30.75,77.75,0.0
2023-01-02,30.75,78.0,0.0
2023-01-02,30.75,78.25,0.0
2023-01-02,30.75,78.5,0.0
2023-01-02,30.75,78.75,0.0
2023-01-02,30.75,79.0,0.0
2023-01-02,30.75,79.25,0.0
2023-01-02,30.75,79.5,0.0
2023-01-02,30.75,79.75,0.0
2023-01-02,30.75,80.0,0.0
2023-01-02,30.75,80.25,0.0
2023-01-02,30.75,80.5,
2023-01-02,30.75,80.75,
2023-01-02,30.75,81.0,
2023-01-02,31.0,77.75,0.0
2023-01-02,31.0,78.0,0.0
2023-01-02,31.0,78.25,0.0
2023-01-02,31.0,78.5,0.0
2023-01-02,31.0,78.75,0.0
2023-01-02,31.0,79.0,0.0
2023-01-02,31.0,79.25,0.0
2023-01-02,31.0,79.5,0.0
2023-01-02,31.0,79.75,0.0
2023-01-02,31.0,80.0,0.0
2023-01-02,31.0,80.25,
2023-01-02,31.0,80.5,
2023-01-02,31.0,80.75,
2023-01-02,31.0,81.0,
2023-01-02,31.25,77.75,0.0
2023-01-02,31.25,78.0,0.0
2023-01-02,31.25,78.25,0.0
2023-01-02,31.25,78.5,0.0
2023-01-02,31.25,78.75,0.0
2023-01-02,31.25,79.0,0.0
2023-01-02,31.25,79.25,0.0
2023-01-02,31.25,79.5,0.0
2023-01-02,31.25,79.75,
2023-01-02,31.25,80.0,
2023-01-02,31.25,80.25,
2023-01-02,31.25,80.5,
2023-01-02,31.25,80.75,
2023-01-02,31.25,81.0,
2023-01-03,28.75,77.75,0.0
2023-01-03,28.75,78.0,0.0
2023-01-03,28.75,78.25,0.0
2023-01-03,28.75,78.5,0.0
2023-01-03,28.75,78.75,0.0
2023-01-03,28.75,79.0,0.0
2023-01-03,28.75,79.25,0.0
2023-01-03,28.75,79.5,0.0
2023-01-03,28.75,79.75,0.0
2023-01-03,28.75,80.0,0.0
2023-01-03,28.75,80.25,0.0
2023-01-03,28.75,80.5,0.0
2023-01-03,28.75,80.75,0.0
2023-01-03,28.75,81.0,
2023-01-03,29.0,77.75,0.0
2023-01-03,29.0,78.0,0.0
2023-01-03,29.0,78.25,0.0
2023-01-03,29.0,78.5,0.0
2023-01-03,29.0,78.75,0.0
2023-01-03,29.0,79.0,0.0
2023-01-03,29.0,79.25,0.0
2023-01-03,29.0,79.5,0.0
2023-01-03,29.0,79.75,0.0
2023-01-03,29.0,80.0,0.0
2023-01-03,29.0,80.25,
2023-01-03,29.0,80.5,
2023-01-03,29.0,80.75,
2023-01-03,29.0,81.0,
2023-01-03,29.25,77.75,0.0
2023-01-03,29.25,78.0,0.0
2023-01-03,29.25,78.25,0.0
2023-01-03,29.25,78.5,0.0
2023-01-03,29.25,78.75,0.0
2023-01-03,29.25,79.0,0.0
2023-01-03,29.25,79.25,0.0
2023-01-03,29.25,79.5,0.0
2023-01-03,29.25,79.75,0.0
2023-01-03,29.25,80.0,0.0
2023-01-03,29.25,80.25,0.0
2023-01-03,29.25,80.5,
2023-01-03,29.25,80.75,
2023-01-03,29.25,81.0,
2023-01-03,29.5,77.75,0.0
2023-01-03,29.5,78.0,0.0
2023-01-03,29.5,78.25,0.0
2023-01-03,29.5,78.5,0.0
2023-01-03,29.5,78.75,0.0
2023-01-03,29.5,79.0,0.0
2023-01-03,29.5,79.25,0.0
2023-01-03,29.5,79.5,0.0
2023-01-03,29.5,79.75,0.0
2023-01-03,29.5,80.0,0.0
2023-01-03,29.5,80.25,0.0
2023-01-03,29.5,80.5,
2023-01-03,29.5,80.75,
2023-01-03,29.5,81.0,
2023-01-03,29.75,77.75,0.0
2023-01-03,29.75,78.0,0.0
2023-01-03,29.75,78.25,0.0
2023-01-03,29.75,78.5,0.0
2023-01-03,29.75,78.75,0.0
2023-01-03,29.75,79.0,0.0
2023-01-03,29.75,79.25,0.0
2023-01-03,29.75,79.5,0.0
2023-01-03,29.75,79.75,0.0
2023-01-03,29.75,80.0,0.0
2023-01-03,29.75,80.25,0.0
2023-01-03,29.75,80.5,
2023-01-03,29.75,80.75,
2023-01-03,29.75,81.0,
2023-01-03,30.0,77.75,0.0
2023-01-03,30.0,78.0,0.0
2023-01-03,30.0,78.25,0.0
2023-01-03,30.0,78.5,0.0
2023-01-03,30.0,78.75,0.0
2023-01-03,30.0,79.0,0.0
2023-01-03,30.0,79.25,0.0
2023-01-03,30.0,79.5,0.0
2023-01-03,30.0,79.75,0.0
2023-01-03,30.0,80.0,0.0
2023-01-03,30.0,80.25,0.0
2023-01-03,30.0,80.5,0.0
2023-01-03,30.0,80.75,
2023-01-03,30.0,81.0,
2023-01-03,30.25,77.75,0.0
2023-01-03,30.25,78.0,0.0
2023-01-03,30.25,78.25,0.0
2023-01-03,30.25,78.5,0.0
2023-01-03,30.25,78.75,0.0
2023-01-03,30.25,79.0,0.0
2023-01-03,30.25,79.25,0.0
2023-01-03,30.25,79.5,0.0
2023-01-03,30.25,79.75,0.0
2023-01-03,30.25,80.0,0.0
2023-01-03,30.25,80.25,0.0
2023-01-03,30.25,80.5,0.0
2023-01-03,30.25,80.75,0.0
2023-01-03,30.25,81.0,0.0
2023-01-03,30.5,77.75,0.0
2023-01-03,30.5,78.0,0.0
2023-01-03,30.5,78.25,0.0
2023-01-03,30.5,78.5,0.0
2023-01-03,30.5,78.75,0.0
2023-01-03,30.5,79.0,0.0
2023-01-03,30.5,79.25,0.0
2023-01-03,30.5,79.5,0.0
2023-01-03,30.5,79.75,0.0
2023-01-03,30.5,80.0,0.0
2023-01-03,30.5,80.25,0.0
2023-01-03,30.5,80.5,0.0
2023-01-03,30.5,80.75,0.0
2023-01-03,30.5,81.0,
2023-01-03,30.75,77.75,0.0
2023-01-03,30.75,78.0,0.0
2023-01-03,30.75,78.25,0.0
2023-01-03,30.75,78.5,0.0
2023-01-03,30.75,78.75,0.0
2023-01-03,30.75,79.0,0.0
2023-01-03,30.75,79.25,0.0
2023-01-03,30.75,79.5,0.0
2023-01-03,30.75,79.75,0.0
2023-01-03,30.75,80.0,0.0
2023-01-03,30.75,80.25,0.0
2023-01-03,30.75,80.5,
2023-01-03,30.75,80.75,
2023-01-03,30.75,81.0,
2023-01-03,31.0,77.75,0.0
2023-01-03,31.0,78.0,0.0
2023-01-03,31.0,78.25,0.0
2023-01-03,31.0,78.5,0.0
2023-01-03,31.0,78.75,0.0
2023-01-03,31.0,79.0,0.0
2023-01-03,31.0,79.25,0.0
2023-01-03,31.0,79.5,0.0
2023-01-03,31.0,79.75,0.0
2023-01-03,31.0,80.0,0.0
2023-01-03,31.0,80.25,
2023-01-03,31.0,80.5,
2023-01-03,31.0,80.75,
2023-01-03,31.0,81.0,
2023-01-03,31.25,77.75,0.0
2023-01-03,31.25,78.0,0.0
2023-01-03,31.25,78.25,0.0
2023-01-03,31.25,78.5,0.0
2023-01-03,31.25,78.75,0.0
2023-01-03,31.25,79.0,0.0
2023-01-03,31.25,79.25,0.0
2023-01-03,31.25,79.5,0.0
2023-01-03,31.25,79.75,
2023-01-03,31.25,80.0,
2023-01-03,31.25,80.25,
2023-01-03,31.25,80.5,
2023-01-03,31.25,80.75,
2023-01-03,31.25,81.0,
2023-01-04,28.75,77.75,0.0
2023-01-04,28.75,78.0,0.0
2023-01-04,28.75,78.25,0.0
2023-01-04,28.75,78.5,0.0
2023-01-04,28.75,78.75,0.0
2023-01-04,28.75,79.0,0.0
2023-01-04,28.75,79.25,0.0
2023-01-04,28.75,79.5,0.0
2023-01-04,28.75,79.75,0.0
2023-01-04,28.75,80.0,0.0
2023-01-04,28.75,80.25,0.0
2023-01-04,28.75,80.5,0.0
2023-01-04,28.75,80.75,0.0
2023-01-04,28.75,81.0,
2023-01-04,29.0,77.75,0.0
2023-01-04,29.0,78.0,0.0
2023-01-04,29.0,78.25,0.0
2023-01-04,29.0,78.5,0.0
2023-01-04,29.0,78.75,0.0
2023-01-04,29.0,79.0,0.0
2023-01-04,29.0,79.25,0.0
2023-01-04,29.0,79.5,0.0
2023-01-04,29.0,79.75,0.0
2023-01-04,29.0,80.0,0.0
2023-01-04,29.0,80.25,
2023-01-04,29.0,80.5,
2023-01-04,29.0,80.75,
2023-01-04,29.0,81.0,
2023-01-04,29.25,77.75,0.0
2023-01-04,29.25,78.0,0.0
2023-01-04,29.25,78.25,0.0
2023-01-04,29.25,78.5,0.0
2023-01-04,29.25,78.75,0.0
2023-01-04,29.25,79.0,0.0
2023-01-04,29.25,79.25,0.0
2023-01-04,29.25,79.5,0.0
2023-01-04,29.25,79.75,0.0
2023-01-04,29.25,80.0,0.0
2023-01-04,29.25,80.25,0.0
2023-01-04,29.25,80.5,
2023-01-04,29.25,80.75,
2023-01-04,29.25,81.0,
2023-01-04,29.5,77.75,0.0
2023-01-04,29.5,78.0,0.0
2023-01-04,29.5,78.25,0.0
2023-01-04,29.5,78.5,0.0
2023-01-04,29.5,78.75,0.0
2023-01-04,29.5,79.0,0.0
2023-01-04,29.5,79.25,0.0
2023-01-04,29.5,79.5,0.0
2023-01-04,29.5,79.75,0.0
2023-01-04,29.5,80.0,0.0
2023-01-04,29.5,80.25,0.0
2023-01-04,29.5,80.5,
2023-01-04,29.5,80.75,
2023-01-04,29.5,81.0,
2023-01-04,29.75,77.75,0.0
2023-01-04,29.75,78.0,0.0
2023-01-04,29.75,78.25,0.0
2023-01-04,29.75,78.5,0.0
2023-01-04,29.75,78.75,0.0
2023-01-04,29.75,79.0,0.0
2023-01-04,29.75,79.25,0.0
2023-01-04,29.75,79.5,0.0
2023-01-04,29.75,79.75,0.0
2023-01-04,29.75,80.0,0.0
2023-01-04,29.75,80.25,0.0
2023-01-04,29.75,80.5,
2023-01-04,29.75,80.75,
2023-01-04,29.75,81.0,
2023-01-04,30.0,77.75,0.0
2023-01-04,30.0,78.0,0.0
2023-01-04,30.0,78.25,0.0
2023-01-04,30.0,78.5,0.0
2023-01-04,30.0,78.75,0.0
2023-01-04,30.0,79.0,0.0
2023-01-04,30.0,79.25,0.0
2023-01-04,30.0,79.5,0.0
2023-01-04,30.0,79.75,0.0
2023-01-04,30.0,80.0,0.0
2023-01-04,30.0,80.25,0.0
2023-01-04,30.0,80.5,0.0
2023-01-04,30.0,80.75,
2023-01-04,30.0,81.0,
2023-01-04,30.25,77.75,0.0
2023-01-04,30.25,78.0,0.0
2023-01-04,30.25,78.25,0.0
2023-01-04,30.25,78.5,0.0
2023-01-04,30.25,78.75,0.0
2023-01-04,30.25,79.0,0.0
2023-01-04,30.25,79.25,0.0
2023-01-04,30.25,79.5,0.0
2023-01-04,30.25,79.75,0.0
2023-01-04,30.25,80.0,0.0
2023-01-04,30.25,80.25,0.0
2023-01-04,30.25,80.5,0.0
2023-01-04,30.25,80.75,0.0
2023-01-04,30.25,81.0,0.0
2023-01-04,30.5,77.75,0.0
2023-01-04,30.5,78.0,0.0
2023-01-04,30.5,78.25,0.0
2023-01-04,30.5,78.5,0.0
2023-01-04,30.5,78.75,0.0
2023-01-04,30.5,79.0,0.0
2023-01-04,30.5,79.25,0.0
2023-01-04,30.5,79.5,0.0
2023-01-04,30.5,79.75,0.0
2023-01-04,30.5,80.0,0.0
2023-01-04,30.5,80.25,0.0
2023-01-04,30.5,80.5,0.0
2023-01-04,30.5,80.75,0.0
2023-01-04,30.5,81.0,
2023-01-04,30.75,77.75,0.0
2023-01-04,30.75,78.0,0.0
2023-01-04,30.75,78.25,0.0
2023-01-04,30.75,78.5,0.0
2023-01-04,30.75,78.75,0.0
2023-01-04,30.75,79.0,0.0
2023-01-04,30.75,79.25,0.0
2023-01-04,30.75,79.5,0.0
2023-01-04,30.75,79.75,0.0
2023-01-04,30.75,80.0,0.0
2023-01-04,30.75,80.25,0.0
2023-01-04,30.75,80.5,
2023-01-04,30.75,80.75,
2023-01-04,30.75,81.0,
2023-01-04,31.0,77.75,0.0
2023-01-04,31.0,78.0,0.0
2023-01-04,31.0,78.25,0.0
2023-01-04,31.0,78.5,0.0
2023-01-04,31.0,78.75,0.0
2023-01-04,31.0,79.0,0.0
2023-01-04,31.0,79.25,0.0
2023-01-04,31.0,79.5,0.0
2023-01-04,31.0,79.75,0.0
2023-01-04,31.0,80.0,0.0
2023-01-04,31.0,80.25,
2023-01-04,31.0,80.5,
2023-01-04,31.0,80.75,
2023-01-04,31.0,81.0,
2023-01-04,31.25,77.75,0.0
2023-01-04,31.25,78.0,0.0
2023-01-04,31.25,78.25,0.0
2023-01-04,31.25,78.5,0.0
2023-01-04,31.25,78.75,0.0
2023-01-04,31.25,79.0,0.0
2023-01-04,31.25,79.25,0.0
2023-01-04,31.25,79.5,0.0
2023-01-04,31.25,79.75,
2023-01-04,31.25,80.0,
2023-01-04,31.25,80.25,
2023-01-04,31.25,80.5,
2023-01-04,31.25,80.75,
2023-01-04,31.25,81.0,
2023-01-05,28.75,77.75,0.0
2023-01-05,28.75,78.0,0.0
2023-01-05,28.75,78.25,0.0
2023-01-05,28.75,78.5,0.0
2023-01-05,28.75,78.75,0.0
2023-01-05,28.75,79.0,0.0
2023-01-05,28.75,79.25,0.0
2023-01-05,28.75,79.5,0.0
2023-01-05,28.75,79.75,0.0
2023-01-05,28.75,80.0,0.0
2023-01-05,28.75,80.25,0.0
2023-01-05,28.75,80.5,0.0
2023-01-05,28.75,80.75,0.0
2023-01-05,28.75,81.0,
2023-01-05,29.0,77.75,0.0
2023-01-05,29.0,78.0,0.0
2023-01-05,29.0,78.25,0.0
2023-01-05,29.0,78.5,0.0
2023-01-05,29.0,78.75,0.0
2023-01-05,29.0,79.0,0.0
2023-01-05,29.0,79.25,0.0
2023-01-05,29.0,79.5,0.0
2023-01-05,29.0,79.75,0.0
2023-01-05,29.0,80.0,0.0
2023-01-05,29.0,80.25,
2023-01-05,29.0,80.5,
2023-01-05,29.0,80.75,
2023-01-05,29.0,81.0,
2023-01-05,29.25,77.75,0.0
2023-01-05,29.25,78.0,0.0
2023-01-05,29.25,78.25,0.0
2023-01-05,29.25,78.5,0.0
2023-01-05,29.25,78.75,0.0
2023-01-05,29.25,79.0,0.0
2023-01-05,29.25,79.25,0.0
2023-01-05,29.25,79.5,0.0
2023-01-05,29.25,79.75,0.0
2023-01-05,29.25,80.0,0.0
2023-01-05,29.25,80.25,0.0
2023-01-05,29.25,80.5,
2023-01-05,29.25,80.75,
2023-01-05,29.25,81.0,
2023-01-05,29.5,77.75,0.0
2023-01-05,29.5,78.0,0.0
2023-01-05,29.5,78.25,0.0
2023-01-05,29.5,78.5,0.0
2023-01-05,29.5,78.75,0.0
2023-01-05,29.5,79.0,0.0
2023-01-05,29.5,79.25,0.0
2023-01-05,29.5,79.5,0.0
2023-01-05,29.5,79.75,0.0
2023-01-05,29.5,80.0,0.0
2023-01-05,29.5,80.25,0.0
2023-01-05,29.5,80.5,
2023-01-05,29.5,80.75,
2023-01-05,29.5,81.0,
2023-01-05,29.75,77.75,0.0
2023-01-05,29.75,78.0,0.0
2023-01-05,29.75,78.25,0.0
2023-01-05,29.75,78.5,0.0
2023-01-05,29.75,78.75,0.0
2023-01-05,29.75,79.0,0.0
2023-01-05,29.75,79.25,0.0
2023-01-05,29.75,79.5,0.0
2023-01-05,29.75,79.75,0.0
2023-01-05,29.75,80.0,0.0
2023-01-05,29.75,80.25,0.0
2023-01-05,29.75,80.5,
2023-01-05,29.75,80.75,
2023-01-05,29.75,81.0,
2023-01-05,30.0,77.75,0.0
2023-01-05,30.0,78.0,0.0
2023-01-05,30.0,78.25,0.0
2023-01-05,30.0,78.5,0.0
2023-01-05,30.0,78.75,0.0
2023-01-05,30.0,79.0,0.0
2023-01-05,30.0,79.25,0.0
2023-01-05,30.0,79.5,0.0
2023-01-05,30.0,79.75,0.0
2023-01-05,30.0,80.0,0.0
2023-01-05,30.0,80.25,0.0
2023-01-05,30.0,80.5,0.0
2023-01-05,30.0,80.75,
2023-01-05,30.0,81.0,
2023-01-05,30.25,77.75,0.0
2023-01-05,30.25,78.0,0.0
2023-01-05,30.25,78.25,0.0
2023-01-05,30.25,78.5,0.0
2023-01-05,30.25,78.75,0.0
2023-01-05,30.25,79.0,0.0
2023-01-05,30.25,79.25,0.0
2023-01-05,30.25,79.5,0.0
2023-01-05,30.25,79.75,0.0
2023-01-05,30.25,80.0,0.0
2023-01-05,30.25,80.25,0.0
2023-01-05,30.25,80.5,0.0
2023-01-05,30.25,80.75,0.0
2023-01-05,30.25,81.0,0.0
2023-01-05,30.5,77.75,0.0
2023-01-05,30.5,78.0,0.0
2023-01-05,30.5,78.25,0.0
2023-01-05,30.5,78.5,0.0
2023-01-05,30.5,78.75,0.0
2023-01-05,30.5,79.0,0.0
2023-01-05,30.5,79.25,0.0
2023-01-05,30.5,79.5,0.0
2023-01-05,30.5,79.75,0.0
2023-01-05,30.5,80.0,0.0
2023-01-05,30.5,80.25,0.0
2023-01-05,30.5,80.5,0.0
2023-01-05,30.5,80.75,0.0
2023-01-05,30.5,81.0,
2023-01-05,30.75,77.75,0.0
2023-01-05,30.75,78.0,0.0
2023-01-05,30.75,78.25,0.0
2023-01-05,30.75,78.5,0.0
2023-01-05,30.75,78.75,0.0
2023-01-05,30.75,79.0,0.0
2023-01-05,30.75,79.25,0.0
2023-01-05,30.75,79.5,0.0
2023-01-05,30.75,79.75,0.0
2023-01-05,30.75,80.0,0.0
2023-01-05,30.75,80.25,0.0
2023-01-05,30.75,80.5,
2023-01-05,30.75,80.75,
2023-01-05,30.75,81.0,
2023-01-05,31.0,77.75,0.0
2023-01-05,31.0,78.0,0.0
2023-01-05,31.0,78.25,0.0
2023-01-05,31.0,78.5,0.0
2023-01-05,31.0,78.75,0.0
2023-01-05,31.0,79.0,0.0
2023-01-05,31.0,79.25,0.0
2023-01-05,31.0,79.5,0.0
2023-01-05,31.0,79.75,0.0
2023-01-05,31.0,80.0,0.0
2023-01-05,31.0,80.25,
2023-01-05,31.0,80.5,
2023-01-05,31.0,80.75,
2023-01-05,31.0,81.0,
